frame,count
1651,11
1652,10
1653,11
1654,10
1655,11
1656,10
1657,10
1658,13
1659,15
1660,14
1661,16
1662,14
1663,10
1664,10
1665,11
1666,12
1667,11
1668,12
1669,9
1670,9
1671,10
1672,11
1673,10
1674,11
1675,12
1676,10
1677,10
1678,9
1679,10
1680,8
1681,9
1682,10
1683,9
1684,11
1685,12
1686,12
1687,9
1688,9
1689,9
1690,10
1691,10
1692,9
1693,7
1694,8
1695,6
1696,6
1697,7
1698,6
1699,9
1700,8
1701,5
1702,5
1703,5
1704,6
1705,6
1706,5
1707,5
1708,6
1709,6
1710,5
1711,5
1712,5
1713,5
1714,5
1715,5
1716,6
1717,6
1718,7
1719,6
1720,8
1721,8
1722,9
1723,8
1724,8
1725,7
1726,7
1727,7
1728,7
1729,7
1730,7
1731,7
1732,8
1733,8
1734,9
1735,10
1736,7
1737,9
1738,8
1739,9
1740,8
1741,7
1742,7
1743,4
1744,5
1745,5
1746,4
1747,3
1748,5
1749,5
1750,5
1751,5
1752,2
1753,3
1754,4
1755,4
1756,1
1757,4
1758,2
1759,4
1760,4
1761,4
1762,6
1763,8
1764,4
1765,5
1766,5
1767,3
1768,5
1769,5
1770,3
1771,3
1772,2
1773,3
1774,3
1775,3
1776,3
1777,3
1778,5
1779,4
1780,3
1781,3
1782,3
1783,4
1784,4
1785,4
1786,5
1787,5
1788,4
1789,5
1790,5
1791,6
1792,6
1793,5
1794,5
1795,5
1796,5
1797,5
1798,5
1799,5
1800,4
1801,4
1802,6
1803,5
1804,3
1805,3
1806,4
1807,4
1808,3
1809,3
1810,4
1811,4
1812,3
1813,4
1814,3
1815,3
1816,3
1817,3
1818,2
1819,3
1820,4
1821,3
1822,5
1823,4
1824,4
1825,4
1826,5
1827,4
1828,4
1829,4
1830,5
1831,5
1832,5
1833,6
1834,6
1835,5
1836,5
1837,5
1838,4
1839,6
1840,5
1841,5
1842,5
1843,4
1844,5
1845,6
1846,4
1847,4
1848,4
1849,4
1850,4
1851,4
1852,5
1853,5
1854,4
1855,5
1856,5
1857,4
1858,4
1859,4
1860,4
1861,4
1862,4
1863,5
1864,4
1865,4
1866,5
1867,4
1868,3
1869,4
1870,7
1871,6
1872,6
1873,5
1874,5
1875,5
1876,4
1877,4
1878,4
1879,4
1880,5
1881,5
1882,5
1883,5
1884,5
1885,6
1886,6
1887,6
